DATE,STATION_NUMBER,DISCHARGE
2009-02-09,05DA009,6.199999809265137
2009-02-10,05DA009,6.0
2009-02-11,05DA009,5.900000095367432
2009-02-12,05DA009,5.800000190734863
2009-02-13,05DA009,5.699999809265137
2009-02-14,05DA009,5.599999904632568
2009-02-15,05DA009,5.800000190734863
2009-02-16,05DA009,6.199999809265137
2009-02-17,05DA009,6.300000190734863
2009-02-18,05DA009,6.099999904632568
2009-02-19,05DA009,6.0
2009-02-20,05DA009,5.840000152587891
2009-02-21,05DA009,5.460000038146973
2009-02-22,05DA009,5.199999809265137
2009-02-23,05DA009,5.070000171661377
2009-02-24,05DA009,4.800000190734863
2009-02-25,05DA009,4.699999809265137
2009-02-26,05DA009,4.599999904632568
2009-02-27,05DA009,4.599999904632568
2009-02-28,05DA009,4.800000190734863
2009-03-01,05DA009,5.099999904632568
2009-03-02,05DA009,5.900000095367432
2009-03-03,05DA009,5.329999923706055
2009-03-04,05DA009,5.070000171661377
2009-03-05,05DA009,4.800000190734863
2009-03-06,05DA009,4.699999809265137
2009-03-07,05DA009,4.599999904632568
2009-03-08,05DA009,4.449999809265137
2009-03-09,05DA009,4.349999904632568
2009-03-10,05DA009,4.349999904632568
2009-03-11,05DA009,4.199999809265137
2009-03-12,05DA009,4.400000095367432
2009-03-13,05DA009,4.800000190734863
2009-03-14,05DA009,5.5
2009-03-15,05DA009,5.400000095367432
2009-03-16,05DA009,4.909999847412109
2009-03-17,05DA009,4.760000228881836
2009-03-18,05DA009,4.610000133514404
2009-03-19,05DA009,4.539999961853027
2009-03-20,05DA009,4.579999923706055
2009-03-21,05DA009,4.610000133514404
2009-03-22,05DA009,4.659999847412109
2009-03-23,05DA009,4.599999904632568
2009-03-24,05DA009,4.5
2009-03-25,05DA009,4.400000095367432
2009-03-26,05DA009,4.199999809265137
2009-03-27,05DA009,4.340000152587891
2009-03-28,05DA009,4.449999809265137
2009-03-29,05DA009,4.5
2009-03-30,05DA009,4.050000190734863
2009-03-31,05DA009,4.099999904632568
2009-04-01,05DA009,4.300000190734863
2009-04-02,05DA009,4.400000095367432
2009-04-03,05DA009,4.460000038146973
2009-04-04,05DA009,4.519999980926514
2009-04-05,05DA009,4.550000190734863
2009-04-06,05DA009,4.849999904632568
2009-04-07,05DA009,5.199999809265137
2009-04-08,05DA009,5.5
2009-04-09,05DA009,6.039999961853027
2009-04-10,05DA009,6.570000171661377
2009-04-11,05DA009,6.889999866485596
2009-04-12,05DA009,7.039999961853027
2009-04-13,05DA009,6.809999942779541
2009-04-14,05DA009,6.489999771118164
2009-04-15,05DA009,6.03000020980835
2009-04-16,05DA009,5.989999771118164
2009-04-17,05DA009,6.099999904632568
2009-04-18,05DA009,6.300000190734863
2009-04-19,05DA009,6.75
2009-04-20,05DA009,7.449999809265137
2009-04-21,05DA009,10.199999809265137
2009-04-22,05DA009,12.699999809265137
2009-04-23,05DA009,9.59000015258789
2009-04-24,05DA009,8.869999885559082
2009-04-25,05DA009,8.710000038146973
2009-04-26,05DA009,7.989999771118164
2009-04-27,05DA009,7.380000114440918
2009-04-28,05DA009,7.230000019073486
2009-04-29,05DA009,6.840000152587891
2009-04-30,05DA009,7.03000020980835
2009-05-01,05DA009,7.320000171661377
2009-05-02,05DA009,8.180000305175781
2009-05-03,05DA009,9.869999885559082
2009-05-04,05DA009,10.0
2009-05-05,05DA009,10.300000190734863
2009-05-06,05DA009,10.600000381469728
2009-05-07,05DA009,10.399999618530272
2009-05-08,05DA009,10.600000381469728
2009-05-09,05DA009,10.699999809265137
2009-05-10,05DA009,11.100000381469728
2009-05-11,05DA009,12.199999809265137
2009-05-12,05DA009,13.100000381469728
2009-05-13,05DA009,13.399999618530272
2009-05-14,05DA009,13.399999618530272
2009-05-15,05DA009,12.600000381469728
2009-05-16,05DA009,12.100000381469728
2009-05-17,05DA009,12.800000190734863
2009-05-18,05DA009,16.100000381469727
